"","GCM","variable","decade","layer","mean","median","min","max"
"330","GFDL","WBGT","7","3","7.08","9.33","-29.12","30.38"
"331","GFDL","WBGT","7","4","7.04","9.36","-28.87","29.74"
"332","GFDL","WBGT","7","5","7.03","9.39","-30.77","29.81"
"333","GFDL","WBGT","7","6","7.13","9.47","-28.64","30.41"
"334","GFDL","WBGT","7","7","7.01","9.17","-29.61","30.01"
"335","GFDL","WBGT","7","8","7.25","9.44","-28.27","30.12"
"336","GFDL","WBGT","7","9","7.41","9.5","-29.19","30.2"
"337","GFDL","WBGT","7","10","7.34","9.47","-29.23","30.77"
"338","GFDL","WBGT","8","1","7.22","9.53","-30.82","30.15"
"339","GFDL","WBGT","8","2","7.23","9.55","-29.96","29.84"
"340","GFDL","WBGT","8","3","7.34","9.5","-29.65","30.56"
"341","GFDL","WBGT","8","4","7.25","9.3","-29.02","30.27"
"342","GFDL","WBGT","8","5","7.25","9.52","-29.49","29.68"
"343","GFDL","WBGT","8","6","7.24","9.54","-28.88","29.71"
"344","GFDL","WBGT","8","7","7.23","9.35","-28.9","30.18"
"345","GFDL","WBGT","8","8","7.12","9.54","-30.04","29.6"
"346","GFDL","WBGT","8","9","7.49","9.65","-28.8","31"
"347","GFDL","WBGT","8","10","7.57","9.53","-29.59","30.62"
"348","GFDL","WBGT","9","1","7.38","9.49","-29.04","29.77"
"349","GFDL","WBGT","9","2","7.28","9.51","-29.35","30.06"
"350","GFDL","WBGT","9","3","7.45","9.52","-28.31","30.23"
"351","GFDL","WBGT","9","4","7.39","9.61","-28.19","30.83"
"352","GFDL","WBGT","9","5","7.43","9.66","-30.16","30.29"
"353","GFDL","WBGT","9","6","7.55","9.72","-28.97","30.27"
"354","GFDL","WBGT","9","7","7.56","9.56","-28.35","30.81"
"355","GFDL","WBGT","9","8","7.51","9.4","-28.4","30.42"
"356","GFDL","WBGT","9","9","7.42","9.51","-28.7","30.38"
"357","HadGEM2","hurs","1","1","78.82","79.37","12.81","98.26"
"358","HadGEM2","hurs","1","2","78.89","79.2","10.93","98.4"
"359","HadGEM2","hurs","1","3","78.91","79.3","9.77","98.22"
"360","HadGEM2","hurs","1","4","78.85","79.25","9.67","98.21"
"361","HadGEM2","hurs","1","5","78.84","79.39","12.88","98.27"
"362","HadGEM2","hurs","1","6","78.73","79.53","12.73","98.19"
